symbol,marcap,3month_performance,avgvol_10,avgvol_30,avgvol_60,avgvol_90
51.807.37B33.2414.411.561.42—7.041B142.286M7.54%343.379K428.891K508.034K486.329K,,,,,,,
T,,,,,,,
"TVTYDTIVITY HEALTH, INC.",,,,,,,
25.981.279B—1.78−0.13−2.518.931.494B49.234M7.53%213.065K269.44K343.273K409.705K,,,,,,,
R,,,,,,,
"RAPTDRAPT THERAPEUTICS, INC.",,,,,,,
18.45461.416M—85.37−2.29−2.19—453.152M25.009M7.52%153.073K132.985K140.909K139.957K,,,,,,,
"PANWDPALO ALTO NETWORKS, INC.",,,,,,,
356.3734.707B—8.68−4.56−2.7674.0734.801B97.391M7.51%954.912K992.281K1.022M1.118M,,,,,,,
P,,,,,,,
"PROVDPROVIDENT FINANCIAL HOLDINGS, INC.",,,,,,,
18.19136.726M23.593.380.781.01—169.738M7.517M7.51%12.481K14.777K17.517K18.288K,,,,,,,
C,,,,,,,
CODIDD/B/A COMPASS DIVERSIFIED HOLDINGS SHARES OF BENEFICIAL INTEREST,,,,,,,
26.081.693B—1.00−0.22−0.3412.942.929B64.9M7.50%100.094K138.197K147.019K158.758K,,,,,,,
"TSLADTESLA, INC.",,,,,,,
605.13582.94B599.5918.881.170.64175.60753.278B963.33M7.48%25.832M29.851M31.865M32.764M,,,,,,,
LLYDELI LILLY AND COMPANY,,,,,,,
222.52213.402B30.247.236.716.7920.45183.808B959.025M7.48%4.782M3.632M3.593M3.616M,,,,,,,
RCLDD/B/A ROYAL CARIBBEAN CRUISES LTD.,,,,,,,
94.4824.052B—104.83−24.86−27.05—37.244B254.571M7.47%4.301M3.797M3.928M4.819M,,,,,,,
"SQDSQUARE, INC.",,,,,,,
216.9598.792B300.178.130.790.44320.51113.245B455.369M7.47%9.13M10.133M10.281M10.899M,,,,,,,
R,,,,,,,
RPAYDREPAY HOLDINGS CORPORATION,,,,,,,
24.472.163B—11.37−0.80−0.6753.611.888B80.446M7.47%528.99K680.26K646.652K816.662K,,,,,,,
"MHKDMOHAWK INDUSTRIES, INC.",,,,,,,
201.2514.029B22.281.439.087.227.3815.665B69.708M7.47%665.422K588.558K558.528K562.935K,,,,,,,
"AMKRDAMKOR TECHNOLOGY, INC.",,,,,,,
22.205.421B13.621.031.631.404.096.265B244.184M7.45%1.254M1.636M1.626M2.153M,,,,,,,
"RDRYDER SYSTEM, INC.",,,,,,,
80.174.319B118.250.510.71−2.344.1110.581B53.87M7.45%477.945K529.852K508.073K491.173K,,,,,,,
S,,,,,,,
"SIFYDSIFY TECHNOLOGIES LIMITED - AMERICAN DEPOSITORY SHARES, EACH REPRESENTED BY ONE DR",,,,,,,
3.47611.15M—1.950.060.064.32—179.223M7.43%249.89K327.771K523.871K1.511M,,,,,,,
B,,,,,,,
"BCSFDBAIN CAPITAL SPECIALTY FINANCE, INC.",,,,,,,
15.981.032B6.935.542.310.1429.272.182B64.562M7.39%166.956K165.087K176.494K223.972K,,,,,,,
MYOVDMYOVANT SCIENCES LTD.,,,,,,,
23.742.172B—36.60−2.83−2.83—1.558B91.48M7.37%751.323K706.185K797.107K793.027K,,,,,,,
HPEDHEWLETT PACKARD ENTERPRISE COMPANY,,,,,,,
15.9020.688B33.010.780.50−0.255.4035.713B1.301B7.36%10.927M9.523M10.792M11.144M,,,,,,,
SEICDSEI INVESTMENTS COMPANY,,,,,,,
64.199.167B20.275.433.233.0014.598.078B142.81M7.36%476.751K562.167K531.822K530.169K,,,,,,,
L,,,,,,,
"LIFEDATYR PHARMA, INC.",,,,,,,
4.6775.022M—26.91−2.35−1.77—13.99M16.065M7.36%303.951K294.622K972.784K1.13M,,,,,,,
H,,,,,,,
"HNNADHENNESSY ADVISORS, INC.",,,,,,,
9.2067.75M9.792.260.941.064.4353.29M7.364M7.35%9.128K11.492K13.512K25.253K,,,,,,,
STTDSTATE STREET CORPORATION,,,,,,,
86.4130.051B14.312.776.156.32—42.571B347.768M7.34%1.676M1.947M2.285M2.652M,,,,,,,
"CHRWDC.H. ROBINSON WORLDWIDE, INC.",,,,,,,
98.5513.106B21.840.764.453.7217.5914.409B132.989M7.34%1.008M1.168M1.038M1.042M,,,,,,,
S,,,,,,,
"SURFDSURFACE ONCOLOGY, INC.",,,,,,,
7.90343.088M23.673.810.441.562.95199.939M43.429M7.34%1.206M1.493M1.619M1.551M,,,,,,,
FWRDDFORWARD AIR CORPORATION,,,,,,,
94.842.591B401.881.950.240.8419.882.668B27.318M7.33%119.711K130.912K126.33K134.08K,,,,,,,
P,,,,,,,
"PATIDPATRIOT TRANSPORTATION HOLDING, INC.",,,,,,,
11.2738.342M27.130.470.410.081.7330.562M3.402M7.33%5.36K10.326K9.485K9.184K,,,,,,,
S,,,,,,,
SBSWDD/B/A SIBANYE-STILLWATER LIMITED DR,,,,,,,
19.6214.388B7.911.802.602.563.77—738.745M7.33%2.7M2.448M2.6M2.82M,,,,,,,
NEXADNEXA RESOURCES S.A.,,,,,,,
11.581.534B—0.73−0.11−4.224.882.488B132.439M7.32%125.836K123.968K137.361K129.769K,,,,,,,
SYNADSYNAPTICS INCORPORATED,,,,,,,
136.464.804B32.774.154.383.419.785.529B35.202M7.31%469.293K420.922K387.554K468.242K,,,,,,,
"PDCODPATTERSON COMPANIES, INC.",,,,,,,
33.633.25B—0.59−5.11−6.258.373.777B96.635M7.31%844.487K785.589K701.813K737.965K,,,,,,,
M,,,,,,,
"MILEDMETROMILE, INC.",,,,,,,
10.151.28B———−0.51—779.895M126.065M7.29%1.588M1.713M1.849M1.88M,,,,,,,
LILADLIBERTY LATIN AMERICA LTD.,,,,,,,
14.323.391B—0.92−2.36−3.517.5011.453B234.087M7.27%224.392K197.866K206.034K231.093K,,,,,,,
S,,,,,,,
SNEXDSTONEX GROUP INC.,,,,,,,
67.221.333B7.130.039.718.6315.005.007B19.825M7.26%50.949K70.392K77.471K74.998K,,,,,,,
D,,,,,,,
DBVTDDBV TECHNOLOGIES S.A. DR,,,,,,,
5.63614.981M———−1.48—446.468M109.733M7.24%82.663K128.74K128.011K154.959K,,,,,,,
LANCDLANCASTER COLONY CORPORATION,,,,,,,
194.545.359B37.693.785.124.9719.024.633B27.545M7.23%93.704K97.616K91.545K91.053K,,,,,,,
R,,,,,,,
RCIIDRENT-A-CENTER INC.,,,,,,,
63.174.189B17.201.273.703.736.555.332B66.309M7.21%564.699K561.335K530.45K597.326K,,,,,,,
E,,,,,,,
"ESBADEMPIRE STATE REALTY OP, L.P. SERIES ES OPERATING PARTNERSHIP",,,,,,,
12.493.565B—0.49——14.954.175B172.934M7.21%5.711K6.1K6.291K7.08K,,,,,,,
P,,,,,,,
PLBCDPLUMAS BANCORP,,,,,,,
31.13161.774M10.183.243.012.77—-53.112M5.197M7.20%11.029K12.776K11.311K10.476K,,,,,,,
LBRDKDLIBERTY BROADBAND CORPORATION,,,,,,,
160.8530.345B65.34108.372.502.17—33.146B189.285M7.17%1.02M909.333K943.661K1.037M,,,,,,,
KEYDKEYCORP,,,,,,,
22.7422.07B12.933.011.771.27—33.964B970.519M7.16%5.766M6.821M8.903M8.552M,,,,,,,
PGDPROCTER & GAMBLE COMPANY (THE),,,,,,,
136.42333.988B25.014.705.634.9617.20371.819B2.448B7.16%11.163M9.441M8.931M8.708M,,,,,,,
BKHDBLACK HILLS CORPORATION,,,,,,,
68.744.322B18.592.393.693.6511.818.621B62.872M7.16%400.147K358.968K346.275K366.635K,,,,,,,
BPYDBROOKFIELD PROPERTY PARTNERS L.P. - LIMITED PARTNERSHIP,,,,,,,
18.7317.472B—1.54−1.67−2.3926.9493.688B436.157M7.15%2.937M2.932M3.027M2.949M,,,,,,,
BMYDBRISTOL-MYERS SQUIBB COMPANY,,,,,,,
64.77144.692B—3.44−2.76−3.9911.63177.049B2.234B7.15%8.506M9.784M10.716M11.636M,,,,,,,
A,,,,,,,
ATHEDALTERITY THERAPEUTICS LIMITED DR,,,,,,,
1.5046.745M——−0.62−0.60——34.734M7.14%184.691K227.551K1.594M1.404M,,,,,,,
I,,,,,,,
IACDIAC/INTERACTIVECORP,,,,,,,
158.2014.101B15.374.3610.702.97—17.967B89.137M7.14%1.283M1.043M993.056K970.912K,,,,,,,
M,,,,,,,
MASSD908 DEVICES INC.,,,,,,,
42.791.168B—41.07−0.59−0.47—1.196B27.3M7.14%151.486K265.449K249.377K258.426K,,,,,,,
OMCDOMNICOM GROUP INC.,,,,,,,
82.7817.804B18.361.364.524.377.5018.692B215.081M7.13%2.129M1.844M1.987M1.95M,,,,,,,
C,,,,,,,
"CLSDDCLEARSIDE BIOMEDICAL, INC.",,,,,,,
3.16181.949M—43.03−0.45−0.39—115.655M57.579M7.12%174.466K170.357K227.198K322.103K,,,,,,,
"ANDAUTONATION, INC.",,,,,,,
96.317.751B9.950.389.864.309.1611.847B80.48M7.12%807.981K840.335K803.839K800.05K,,,,,,,
"HUBGDHUB GROUP, INC.",,,,,,,
67.212.314B29.110.632.332.198.972.336B34.427M7.11%149.851K216.529K215.994K224.876K,,,,,,,
NVSDNOVARTIS AG DR,,,,,,,
89.67203.288B25.744.163.513.5413.99227.444B2.257B7.09%2.077M1.948M1.867M1.909M,,,,,,,
S,,,,,,,
"SMCIDSUPER MICRO COMPUTER, INC.",,,,,,,
37.001.848B21.690.581.761.6011.562.008B49.934M7.09%203.586K189.903K259.651K273.528K,,,,,,,
HEXODHEXO CORP.,,,,,,,
6.951.009B—9.34−1.62−5.27—716.552M122.386M7.09%4.581M3.921M3.603M4.841M,,,,,,,
F,,,,,,,
FURYDFURY GOLD MINES LIMITED,,,,,,,
1.36160.386M——−0.14−0.14—136.214M73.12M7.09%235.607K227.587K238.636K439.686K,,,,,,,
TTCDTORO COMPANY (THE),,,,,,,
104.9011.289B27.653.093.843.0317.7412.751B107.62M7.07%492.045K440.817K522.22K477.867K,,,,,,,
EPDDENTERPRISE PRODUCTS PARTNERS L.P.,,,,,,,
24.7053.974B14.321.851.711.7010.2677.99B2.185B7.07%4.795M6.209M5.901M6.533M,,,,,,,
L,,,,,,,
"LBAIDLAKELAND BANCORP, INC.",,,,,,,
19.26974.582M14.393.601.341.13—968.429M50.601M7.06%181.414K169.769K153.654K167.369K,,,,,,,
MKLDMARKEL CORPORATION,,,,,,,
1210.1516.649B6.201.38198.4155.63—20.186B13.758M7.05%72.05K60.113K50.106K56.196K,,,,,,,
G,,,,,,,
GLDGLOBE LIFE INC.,,,,,,,
106.4710.972B15.182.297.096.82—12.074B103.053M7.04%317.358K322.92K364.341K405.964K,,,,,,,
AOSDA.O. SMITH CORPORATION,,,,,,,
68.2010.943B28.733.712.422.1215.8410.495B160.456M7.03%1.113M1.189M1.12M1.175M,,,,,,,
A,,,,,,,
ATKRDATKORE INC.,,,,,,,
78.083.669B13.141.846.013.104.993.929B46.984M7.02%330.153K489.402K482.507K554.149K,,,,,,,
"FNDDFLOOR & DECOR HOLDINGS, INC.",,,,,,,
96.3610.109B44.303.922.261.8429.7711.489B104.912M7.01%618.983K755.359K766.989K763.551K,,,,,,,
T,,,,,,,
"TSRIDTSR, INC.",,,,,,,
8.4016.481M—0.27−0.07−0.57—20.47M1.962M7.01%9.005K7.647K11.218K15.441K,,,,,,,
F,,,,,,,
"FCBCDFIRST COMMUNITY BANKSHARES, INC.",,,,,,,
31.62554.553M12.943.902.412.02—479.215M17.538M7.01%31.319K33.603K40.27K42.736K,,,,,,,
"PFSDPROVIDENT FINANCIAL SERVICES, INC",,,,,,,
25.231.967B14.374.271.761.39—2.155B65.909M7.00%223.143K285.427K318.805K341.428K,,,,,,,
LEN.BDLENNAR CORPORATION,,,,,,,
75.2429.133B7.791.019.817.857.2924.139B313.381M7.00%69.873K67.013K64.058K65.577K,,,,,,,
K,,,,,,,
KNOPDKNOT OFFSHORE PARTNERS LP,,,,,,,
18.98632.207M—2.243.041.747.341.632B32.694M6.99%119.592K128.967K134.71K134.702K,,,,,,,
"BRKLDBROOKLINE BANCORP, INC.",,,,,,,
16.841.317B14.443.871.160.60—1.704B78.193M6.99%208.547K237.702K280.528K328.438K,,,,,,,
V,,,,,,,
VNTDVONTIER CORPORATION,,,,,,,
33.875.717B———2.0211.136.635B168.798M6.98%1.401M1.226M1.841M1.884M,,,,,,,
WDWAYFAIR INC.,,,,,,,
327.9534.172B75.392.245.121.8634.6134.864B104.199M6.98%1.337M1.613M1.451M1.674M,,,,,,,
NMIHDNMI HOLDINGS INC,,,,,,,
24.702.114B12.104.782.002.13—2.438B85.6M6.97%539.999K672.142K674.17K746.673K,,,,,,,
I,,,,,,,
IGCDINDIA GLOBALIZATION CAPITAL INC.,,,,,,,
1.6963.059M—67.86−0.22−0.19—62.562M45.366M6.96%2.885M1.701M1.657M4.025M,,,,,,,
I,,,,,,,
INTGDTHE INTERGROUP CORPORATION,,,,,,,
40.1289.737M34.694.881.67−1.6420.14208.818M2.237M6.96%16.644K6.279K4.615K3.753K,,,,,,,
CIGIDCOLLIERS INTERNATIONAL GROUP INC. - SUBORDINATE VOTING SHARES,,,,,,,
114.855.046B102.121.521.261.2913.575.548B43.931M6.95%45.715K73.312K78.699K80.288K,,,,,,,
N,,,,,,,
"NCMIDNATIONAL CINEMEDIA, INC.",,,,,,,
5.09411.451M—12.26−1.04−0.84—1.473B80.835M6.93%600.49K505.842K622.411K698.076K,,,,,,,
"ZENDZENDESK, INC.",,,,,,,
135.2216.044B—14.37−1.93−1.89—15.865B118.65M6.93%766.973K1.048M1.012M1.122M,,,,,,,
"BWXTDBWX TECHNOLOGIES, INC.",,,,,,,
64.146.102B22.432.902.862.9117.117.255B95.141M6.92%243.352K266.478K296.263K374.174K,,,,,,,
"AEISDADVANCED ENERGY INDUSTRIES, INC.",,,,,,,
102.983.956B25.512.734.053.4913.814.127B38.416M6.90%234.692K304.219K286.766K293.686K,,,,,,,
L,,,,,,,
"LAWSDLAWSON PRODUCTS, INC.",,,,,,,
58.70532.206M88.671.510.681.6214.28472.563M9.067M6.90%7.106K9.522K10.389K11.65K,,,,,,,
"TTMIDTTM TECHNOLOGIES, INC.",,,,,,,
15.181.627B—0.76−0.58−0.567.191.961B107.189M6.90%623.84K901.432K1.044M1.046M,,,,,,,
IXDORIX CORP DR,,,,,,,
91.1021.496B12.361.027.337.338.5454.338B243.898M6.90%17.809K25.25K25.628K25.07K,,,,,,,
H,,,,,,,
HMLPDHOEGH LNG PARTNERS LP,,,,,,,
17.08569.807M8.544.032.001.459.501.031B33.361M6.88%84.012K140.549K204.617K190.338K,,,,,,,
V,,,,,,,
VERODVENUS CONCEPT INC.,,,,,,,
2.33125.982M—1.42−1.09−2.33—178.667M54.07M6.88%247.401K244.95K293.202K529.846K,,,,,,,
N,,,,,,,
"NICKDNICHOLAS FINANCIAL, INC.",,,,,,,
11.3487.318M10.29—1.081.09——7.7M6.88%27.44K11.413K8.4K8.526K,,,,,,,
TDYDTELEDYNE TECHNOLOGIES INCORPORATED,,,,,,,
416.9719.406B39.575.2210.9710.6026.2916.005B46.54M6.88%308.892K368.487K307.445K304.666K,,,,,,,
"MMSIDMERIT MEDICAL SYSTEMS, INC.",,,,,,,
60.063.363B926.233.540.08−0.1821.903.754B55.997M6.85%249.265K253.281K274.739K270.578K,,,,,,,
CDWDCDW CORPORATION,,,,,,,
165.7623.24B28.331.276.005.4513.7227.281B140.204M6.85%796.983K836.061K819.672K832.876K,,,,,,,
ENSDENERSYS,,,,,,,
97.144.161B29.141.413.373.3212.494.579B42.832M6.84%246.16K253.585K259.861K258.409K,,,,,,,
BWADBORGWARNER INC.,,,,,,,
53.1112.738B29.741.091.832.347.2013.568B239.848M6.84%1.99M1.865M2.056M2.274M,,,,,,,
M,,,,,,,
MOGODMOGO INC.,,,,,,,
7.66496.353M——−0.16−0.3711.33—64.798M6.83%782.887K1.387M2.646M3.157M,,,,,,,
HLNEDHAMILTON LANE INCORPORATED,,,,,,,
89.384.74B32.158.932.742.8119.893.616B36.29M6.82%163.208K149.386K166.623K212.575K,,,,,,,
L,,,,,,,
LPGDDORIAN LPG LTD.,,,,,,,
14.56598.213M7.492.131.891.866.061.146B41.086M6.82%376.865K356.152K389.656K519.154K,,,,,,,
K,,,,,,,
KUKEDKUKE MUSIC HOLDING LIMITED DR,,,,,,,
6.42183.609M—7.29−0.08−0.08—179.702M21.286M6.82%85.706K73.449K171.439K127.693K,,,,,,,
D,,,,,,,
"DASHDDOORDASH, INC.",,,,,,,
142.5046.432B—13.09−1.38−1.45—38.771B325.837M6.81%3.842M4.167M3.303M3.423M,,,,,,,
C,,,,,,,
"CIVBDCIVISTA BANCSHARES, INC.",,,,,,,
23.87372.914M10.732.862.202.00—110.704M15.623M6.80%43.559K49.043K54.482K52.415K,,,,,,,
IBNDICICI BANK LIMITED DR,,,,,,,
17.9260.949B24.83—0.730.36——3.461B6.79%4.518M6.804M6.84M7.81M,,,,,,,
"GWBDGREAT WESTERN BANCORP, INC.",,,,,,,
34.131.881B17.043.481.98−12.24—1.844B55.111M6.79%244.042K296.568K365.072K364.354K,,,,,,,
T,,,,,,,
"TWNKDHOSTESS BRANDS, INC.",,,,,,,
15.902.088B23.552.120.700.5111.632.893B131.294M6.78%1.787M1.404M1.221M1.552M,,,,,,,
VLYDVALLEY NATIONAL BANCORP,,,,,,,
14.345.82B14.253.811.010.93—9.18B405.885M6.78%1.554M1.925M2.531M2.539M,,,,,,,
A,,,,,,,
"ALGMDALLEGRO MICROSYSTEMS, INC.",,,,,,,
26.845.089B284.378.640.090.0948.894.613B189.593M6.76%752.975K762.187K686.572K908.201K,,,,,,,
WALDWESTERN ALLIANCE BANCORPORATION,,,,,,,
103.4610.706B16.727.716.145.04—10.01B103.475M6.75%710.481K697.278K730.495K772.173K,,,,,,,
B,,,,,,,
"BLINDBRIDGELINE DIGITAL, INC.",,,,,,,
2.8518.387M—1.21−0.57−0.59—13.657M6.452M6.74%38.284K69.571K166.693K253.986K,,,,,,,
H,,,,,,,
HZNDHORIZON GLOBAL CORPORATION,,,,,,,
9.98269.532M—0.38−1.32−1.4024.79539.41M27.007M6.74%78.277K138K107.708K98.315K,,,,,,,
OGEDOGE ENERGY CORP,,,,,,,
34.236.852B18.552.071.85−0.8710.9111.248B200.174M6.74%4.105M2.698M1.958M1.74M,,,,,,,
T,,,,,,,
TIXTDTELUS INTERNATIONAL (CDA) INC. SUBORDINATE VOTING SHARES,,,,,,,
30.888.199B———0.40—8.399B265.512M6.70%97.14K121.179K103.24K—,,,,,,,
ITTDITT INC.,,,,,,,
92.948.002B111.423.260.860.8312.867.283B86.1M6.69%337.371K500.943K534.482K511.983K,,,,,,,
"MYGNDMYRIAD GENETICS, INC.",,,,,,,
29.342.261B—3.52−2.29−2.69—2.356B77.052M6.69%495.934K495.944K582.976K651.387K,,,,,,,
ACGLDARCH CAPITAL GROUP LTD.,,,,,,,
39.7116.028B9.791.814.123.32—20.434B403.619M6.69%1.608M1.616M1.587M2.323M,,,,,,,
VODDVODAFONE GROUP PLC DR,,,,,,,
18.6650.658B——−0.000.005.58—2.794B6.69%4.024M4.012M3.582M3.666M,,,,,,,
C,,,,,,,
"CSVDCARRIAGE SERVICES, INC.",,,,,,,
38.47694.32M20.761.981.850.8910.221.096B18.048M6.68%66.123K69.74K85.817K92.644K,,,,,,,
L,,,,,,,
LEVIDLEVI STRAUSS & CO,,,,,,,
26.4310.582B—2.53−0.35−0.3225.0610.683B400.364M6.66%1.61M1.568M1.69M1.625M,,,,,,,
B,,,,,,,
"BLFSDBIOLIFE SOLUTIONS, INC.",,,,,,,
35.141.419B—20.75−0.84−0.03404.401.121B40.39M6.65%239.176K262.96K300.771K285.783K,,,,,,,
N,,,,,,,
NWSADNEWS CORPORATION,,,,,,,
25.8514.989B—1.77−0.09−2.166.3816.582B590.812M6.64%4.727M3.811M3.803M3.947M,,,,,,,
BSXDBOSTON SCIENTIFIC CORPORATION,,,,,,,
42.1459.877B429.755.940.10−0.0833.7462.548B1.421B6.63%7.591M7.782M7.451M8.593M,,,,,,,
A,,,,,,,
"AXNXDAXONICS, INC.",,,,,,,
59.582.705B—19.34−1.64−1.48—2.327B45.404M6.62%481.611K575.122K525.818K547.929K,,,,,,,
BKRDBAKER HUGHES COMPANY,,,,,,,
25.9427.019B—0.96−0.25−14.7311.5322.892B773.844M6.62%8.907M10.007M9.481M8.729M,,,,,,,
S,,,,,,,
"SMPDSTANDARD MOTOR PRODUCTS, INC.",,,,,,,
47.371.051B15.520.943.122.516.071.005B22.187M6.62%143.604K133.213K149.892K154.245K,,,,,,,
"GSBDDGOLDMAN SACHS BDC, INC.",,,,,,,
20.152.049B4.9110.334.093.2611.783.51B101.667M6.61%449.627K451.297K443.487K428.327K,,,,,,,
PEGDPUBLIC SERVICE ENTERPRISE GROUP INCORPORATED,,,,,,,
60.8730.745B14.763.214.183.7613.3447.394B505.093M6.60%2.089M2.12M2.048M2.05M,,,,,,,
"MUFGDMITSUBISHI UFJ FINANCIAL GROUP, INC. DR",,,,,,,
5.8274.641B10.291.490.570.57—-90.34B12.845B6.59%2.652M2.001M1.87M1.743M,,,,,,,
"NBIXDNEUROCRINE BIOSCIENCES, INC.",,,,,,,
95.269.006B23.038.874.304.1626.459.118B94.546M6.59%835.896K770.858K1.131M1.06M,,,,,,,
A,,,,,,,
AUMNDGOLDEN MINERALS COMPANY,,,,,,,
0.7141116.02M—18.60−0.06−0.07—98.117M162.47M6.58%650.849K895.505K882.97K1.901M,,,,,,,
CMDDCANTEL MEDICAL CORP.,,,,,,,
80.373.401B64.323.181.310.3216.474.636B42.523M6.58%1.698M816.067K649.744K608.936K,,,,,,,
"IBTXDINDEPENDENT BANK GROUP, INC",,,,,,,
79.723.443B15.804.975.014.67—3.579B43.193M6.56%161.815K159.492K180.764K206.117K,,,,,,,
HTHDHILLTOP HOLDINGS INC.,,,,,,,
38.513.173B6.411.305.904.60—2.28B82.39M6.56%435.92K547.34K568.045K609.767K,,,,,,,
VICRDVICOR CORPORATION,,,,,,,
95.834.171B120.1613.010.800.41134.893.594B43.522M6.55%109.516K123.372K130.397K130.374K,,,,,,,
"ROKDROCKWELL AUTOMATION, INC.",,,,,,,
274.7331.89B20.315.1213.688.7721.6233.125B116.077M6.54%699.189K648.865K636.196K657.973K,,,,,,,
HXLDHEXCEL CORPORATION,,,,,,,
61.325.137B—3.97−0.290.3822.385.534B83.773M6.53%660.048K631.644K709.894K772.126K,,,,,,,
I,,,,,,,
IRSDIRSA INVERSIONES Y REPRESENTACIONES S.A. DR,,,,,,,
4.08471.477M———4.1011.131.123B65.868M6.53%137.277K84.802K77.452K64.978K,,,,,,,
C,,,,,,,
"CPSIDCOMPUTER PROGRAMS AND SYSTEMS, INC.",,,,,,,
33.30490.47M33.671.790.990.9812.87497.13M14.729M6.53%60.117K65.554K69.859K82.783K,,,,,,,
CWTDCALIFORNIA WATER SERVICE GROUP,,,,,,,
56.822.888B24.623.502.301.9715.153.978B50.835M6.50%156.126K223.025K218.099K212.574K,,,,,,,
ABBVDABBVIE INC.,,,,,,,
113.01199.601B39.683.972.842.7211.62267.867B1.766B6.50%8.176M7.122M7.16M7.173M,,,,,,,
F,,,,,,,
FLICDTHE FIRST OF LONG ISLAND CORPORATION,,,,,,,
22.28529.912M12.213.731.821.72—567.885M23.784M6.50%68.496K65.311K73.052K71.323K,,,,,,,
O,,,,,,,
OPRTDOPORTUN FINANCIAL CORPORATION,,,,,,,
20.85583.381M—1.09−1.06−1.65—1.891B27.98M6.49%72.86K78.124K71.54K78.876K,,,,,,,
DGXDQUEST DIAGNOSTICS INCORPORATED,,,,,,,
128.9316.843B9.801.6813.3510.527.8520.881B130.638M6.47%1.174M1.273M1.19M1.283M,,,,,,,
"CASYDCASEYS GENERAL STORES, INC.",,,,,,,
215.297.954B24.471.039.017.1010.707.965B36.947M6.47%241.904K195.041K183.16K205.155K,,,,,,,
G,,,,,,,
GSVDGOLD STANDARD VENTURES CORPORATION,,,,,,,
0.6083217.453M——−0.03−0.03—166.905M357.476M6.46%702.47K1.028M1.912M5.979M,,,,,,,
C,,,,,,,
CPHCDCANTERBURY PARK HOLDING CORPORATION,,,,,,,
14.3768.469M49.042.120.290.2351.1759.026M4.765M6.44%1.179K1.031K1.742K1.841K,,,,,,,
"AEPDAMERICAN ELECTRIC POWER COMPANY, INC.",,,,,,,
85.6742.814B18.782.784.594.4212.7178.178B499.75M6.44%2.371M2.746M2.884M2.906M,,,,,,,
E,,,,,,,
EPACDENERPAC TOOL GROUP CORP.,,,,,,,
27.151.632B391.253.630.070.0127.201.583B60.121M6.43%164.549K176.845K221.367K238.647K,,,,,,,
"CHDDCHURCH & DWIGHT COMPANY, INC.",,,,,,,
86.0221.096B28.024.353.153.1221.3223.979B245.246M6.42%1.359M1.322M1.424M1.42M,,,,,,,
I,,,,,,,
"INFUDINFUSYSTEMS HOLDINGS, INC.",,,,,,,
19.07390.34M22.024.090.910.8019.12480.04M20.469M6.42%102.958K78.992K95.152K94.645K,,,,,,,
SLFDSUN LIFE FINANCIAL INC.,,,,,,,
53.8031.491B13.501.104.013.22—35.72B585.337M6.41%614.737K594.447K523.635K564.92K,,,,,,,
RDNDRADIAN GROUP INC.,,,,,,,
23.154.429B11.803.121.962.00—6.135B191.317M6.39%1.369M1.435M1.298M1.395M,,,,,,,
F,,,,,,,
"FFNWDFIRST FINANCIAL NORTHWEST, INC.",,,,,,,
14.85143.931M15.302.390.970.88—253.237M9.692M6.38%9.607K12.685K14.441K13.199K,,,,,,,
CDAYDCERIDIAN HCM HOLDING INC.,,,,,,,
86.1112.851B—15.05−0.21−0.03208.2713.37B149.238M6.37%747.111K933.97K907.373K1.037M,,,,,,,
I,,,,,,,
"IMKTADINGLES MARKETS, INCORPORATED",,,,,,,
64.111.19B5.690.2711.518.823.331.987B18.563M6.37%64.915K97.909K103.816K116.612K,,,,,,,
"MKCDMCCORMICK & COMPANY, INCORPORATED",,,,,,,
89.4923.887B31.654.132.872.7825.0828.106B267.036M6.35%1.323M1.18M1.313M1.335M,,,,,,,
"WSBCDWESBANCO, INC.",,,,,,,
39.062.629B15.714.052.481.77—2.578B67.316M6.34%221.78K220.334K258.757K256.908K,,,,,,,
EAFDGRAFTECH INTERNATIONAL LTD.,,,,,,,
12.583.362B8.492.881.541.626.394.448B267.265M6.34%3.301M3.371M2.874M3.141M,,,,,,,
NJRDNEWJERSEY RESOURCES CORPORATION,,,,,,,
43.654.205B17.082.182.572.0416.556.16B96.34M6.33%342.47K456.831K494.824K527.056K,,,,,,,
TXDTERNIUM S.A. TERNIUM S.A. DR,,,,,,,
36.277.287B5.300.767.013.964.479.389B196.308M6.33%713.954K1.046M888.327K779.865K,,,,,,,
W,,,,,,,
"WOOFDPETCO HEALTH AND WELLNESS COMPANY, INC.",,,,,,,
22.035.822B———−0.10—9.055B264.27M6.32%4.781M2.681M2.439M2.338M,,,,,,,
O,,,,,,,
ORGODORGANOGENESIS HOLDINGS INC.,,,,,,,
15.982.049B43.665.710.390.1723.062.446B128.218M6.32%3.091M1.549M1.177M1.026M,,,,,,,
"TSNDTYSON FOODS, INC.",,,,,,,
78.3328.025B13.470.655.865.766.5236.43B357.782M6.30%1.668M1.977M1.896M2.075M,,,,,,,
"IDADIDACORP, INC.",,,,,,,
98.244.963B20.363.634.844.6913.356.798B50.516M6.29%251.481K267.901K354.611K351.194K,,,,,,,
"CBOEDCBOE GLOBAL MARKETS, INC.",,,,,,,
112.0011.949B27.163.424.134.2712.7811.571B106.686M6.28%481.808K518.91K523.962K649.348K,,,,,,,
E,,,,,,,
EBTCDENTERPRISE BANCORP INC,,,,,,,
35.44425.491M11.242.603.172.64—434.437M12.006M6.27%17.445K17.071K15.031K14.917K,,,,,,,
